tahun,garis_kemiskinan,persentase_penduduk_miskin,indeks_keparahan_kemiskinan,indeks_pembangunan_manusia,tingkat_pengangguran_terbuka,regions_with_score
2010,241252.0769,11.3696,0.4542,66.2765,10.3531,26.0
2011,266768.2308,10.9873,0.3919,66.8773,9.5888,26.0
2012,287490.4615,10.4008,0.3869,67.5119,8.9319,26.0
2013,309083.6923,9.9869,0.3346,68.1515,9.0723,26.0
2014,320446.5,9.55,0.3058,68.5593,8.4546,26.0
2015,335103.2593,10.0152,0.4019,69.1763,8.5626,27.0
2016,354271.1852,9.4356,0.3496,69.6778,,
2017,372047.5556,9.2296,0.3563,70.2789,7.8956,27.0
2018,398871.5185,7.9419,0.2881,70.97,7.93,27.0
2019,413142.5185,7.4067,0.2115,71.637,7.8489,27.0
2020,433122.963,8.4248,0.2407,71.643,9.98,27.0
2021,447506.7778,8.9696,0.3663,71.9407,9.4011,27.0
2022,468619.3704,8.6541,0.3363,72.613,7.8011,27.0
2023,506925.6667,8.1767,0.2807,73.2478,7.1859,27.0
2024,536065.1111,8.0144,0.28,73.8144,6.5248,27.0
