kode_kabupaten_kota,nama_kabupaten_kota,tahun_awal,tahun_akhir,persentase_miskin_awal,persentase_miskin_akhir,perubahan_poin
3278,KOTA TASIKMALAYA,2010,2024,20.71,11.1,-9.61
3209,KABUPATEN CIREBON,2010,2024,16.12,11.0,-5.12
3210,KABUPATEN MAJALENGKA,2010,2024,15.51,10.82,-4.69
3212,KABUPATEN INDRAMAYU,2010,2024,16.58,11.93,-4.65
3215,KABUPATEN KARAWANG,2010,2024,12.21,7.86,-4.35
3205,KABUPATEN GARUT,2010,2024,13.94,9.68,-4.26
3217,KABUPATEN BANDUNG BARAT,2010,2024,14.68,10.49,-4.19
3203,KABUPATEN CIANJUR,2010,2024,14.32,10.14,-4.18
3213,KABUPATEN SUBANG,2010,2024,13.54,9.49,-4.05
3211,KABUPATEN SUMEDANG,2010,2024,12.94,9.1,-3.84
3202,KABUPATEN SUKABUMI,2010,2024,10.65,6.87,-3.78
3204,KABUPATEN BANDUNG,2010,2024,9.29,6.19,-3.1
3277,KOTA CIMAHI,2010,2024,7.4,4.39,-3.01
3274,KOTA CIREBON,2010,2024,12.0,9.02,-2.98
3207,KABUPATEN CIAMIS,2010,2024,10.34,7.39,-2.95
3271,KOTA BOGOR,2010,2024,9.47,6.53,-2.94
3201,KABUPATEN BOGOR,2010,2024,9.97,7.05,-2.92
3208,KABUPATEN KUNINGAN,2010,2024,14.68,11.88,-2.8
3279,KOTA BANJAR,2010,2024,8.47,5.85,-2.62
3206,KABUPATEN TASIKMALAYA,2010,2024,12.78,10.23,-2.55
3275,KOTA BEKASI,2010,2024,6.3,4.01,-2.29
3214,KABUPATEN PURWAKARTA,2010,2024,10.57,8.41,-2.16
3272,KOTA SUKABUMI,2010,2024,9.24,7.2,-2.04
3218,KABUPATEN PANGANDARAN,2015,2024,10.76,8.75,-2.01
3216,KABUPATEN BEKASI,2010,2024,6.11,4.8,-1.31
3273,KOTA BANDUNG,2010,2024,4.95,3.87,-1.08
3276,KOTA DEPOK,2010,2024,2.84,2.34,-0.5
